kabupaten,forecast_week,predicted_cases
AcehBarat,2024-01-02,0
AcehBarat,2024-01-09,1
AcehBarat,2024-01-16,1
AcehBarat,2024-01-23,1
AcehBaratDaya,2024-01-02,0
AcehBaratDaya,2024-01-09,0
AcehBaratDaya,2024-01-16,0
AcehBaratDaya,2024-01-23,0
AcehBesar,2024-01-02,0
AcehBesar,2024-01-09,2
AcehBesar,2024-01-16,1
AcehBesar,2024-01-23,1
AcehJaya,2024-01-02,0
AcehJaya,2024-01-09,0
AcehJaya,2024-01-16,0
AcehJaya,2024-01-23,0
AcehSelatan,2024-01-02,0
AcehSelatan,2024-01-09,0
AcehSelatan,2024-01-16,0
AcehSelatan,2024-01-23,0
AcehSingkil,2024-01-02,0
AcehSingkil,2024-01-09,1
AcehSingkil,2024-01-16,0
AcehSingkil,2024-01-23,0
AcehTamiang,2024-01-02,0
AcehTamiang,2024-01-09,0
AcehTamiang,2024-01-16,0
AcehTamiang,2024-01-23,1
AcehTenggara,2024-01-02,0
AcehTenggara,2024-01-09,1
AcehTenggara,2024-01-16,0
AcehTenggara,2024-01-23,0
AcehTimur,2024-01-02,0
AcehTimur,2024-01-09,0
AcehTimur,2024-01-16,0
AcehTimur,2024-01-23,0
Agam,2024-01-02,0
Agam,2024-01-09,0
Agam,2024-01-16,0
Agam,2024-01-23,1
Alor,2024-01-02,0
Alor,2024-01-09,0
Alor,2024-01-16,0
Alor,2024-01-23,0
Ambon,2024-01-02,0
Ambon,2024-01-09,0
Ambon,2024-01-16,0
Ambon,2024-01-23,0
Asahan,2024-01-02,0
Asahan,2024-01-09,0
Asahan,2024-01-16,0
Asahan,2024-01-23,0
Asmat,2024-01-02,0
Asmat,2024-01-09,0
Asmat,2024-01-16,0
Asmat,2024-01-23,0
Badung,2024-01-02,10
Badung,2024-01-09,7
Badung,2024-01-16,4
Badung,2024-01-23,3
Balangan,2024-01-02,0
Balangan,2024-01-09,0
Balangan,2024-01-16,0
Balangan,2024-01-23,0
Balikpapan,2024-01-02,0
Balikpapan,2024-01-09,0
Balikpapan,2024-01-16,0
Balikpapan,2024-01-23,0
BandaAceh,2024-01-02,0
BandaAceh,2024-01-09,0
BandaAceh,2024-01-16,0
BandaAceh,2024-01-23,0
BandarLampung,2024-01-02,0
BandarLampung,2024-01-09,0
BandarLampung,2024-01-16,0
BandarLampung,2024-01-23,0
Bandung,2024-01-02,20
Bandung,2024-01-09,29
Bandung,2024-01-16,37
Bandung,2024-01-23,41
BandungBarat,2024-01-02,0
BandungBarat,2024-01-09,2
BandungBarat,2024-01-16,7
BandungBarat,2024-01-23,1
Banggai,2024-01-02,0
Banggai,2024-01-09,0
Banggai,2024-01-16,2
Banggai,2024-01-23,1
BanggaiKepulauan,2024-01-02,0
BanggaiKepulauan,2024-01-09,0
BanggaiKepulauan,2024-01-16,1
BanggaiKepulauan,2024-01-23,0
Bangka,2024-01-02,0
Bangka,2024-01-09,0
Bangka,2024-01-16,0
Bangka,2024-01-23,0
BangkaBarat,2024-01-02,0
BangkaBarat,2024-01-09,0
BangkaBarat,2024-01-16,0
BangkaBarat,2024-01-23,0
BangkaSelatan,2024-01-02,0
BangkaSelatan,2024-01-09,0
BangkaSelatan,2024-01-16,0
BangkaSelatan,2024-01-23,0
BangkaTengah,2024-01-02,0
BangkaTengah,2024-01-09,0
BangkaTengah,2024-01-16,0
BangkaTengah,2024-01-23,0
Bangkalan,2024-01-02,0
Bangkalan,2024-01-09,0
Bangkalan,2024-01-16,1
Bangkalan,2024-01-23,1
Bangli,2024-01-02,0
Bangli,2024-01-09,2
Bangli,2024-01-16,1
Bangli,2024-01-23,2
Banjar,2024-01-02,19
Banjar,2024-01-09,2
Banjar,2024-01-16,0
Banjar,2024-01-23,0
BanjarBaru,2024-01-02,0
BanjarBaru,2024-01-09,0
BanjarBaru,2024-01-16,0
BanjarBaru,2024-01-23,0
Banjarmasin,2024-01-02,0
Banjarmasin,2024-01-09,0
Banjarmasin,2024-01-16,0
Banjarmasin,2024-01-23,0
Banjarnegara,2024-01-02,0
